gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
484,248,805.1,474.658695,413,913.6677622,515.8
366,2108,806.3,640.9961387,413,913.7372275,1852.4
342,338,908.1,784.5558525,415,915.2301316,1910.9
376,1358,952.7,874.9571566,415,915.3589622,532.6
416,764,986.8,927.8141422,416,915.4448881,542.3
496,212,995.5,930.1582725,417,917.1398034,283.5
309,2453,1086.5,1671.14129,419,917.4700709,391
368,858,1113.5,1690.661508,419,917.4747909,312.6
291,256,1119.7,1701.828685,425,919.0847241,433.2
316,2699,1132.2,1727.56525,427,920.3190773,2695.6
363,448,1167.5,1750.645204,429,920.7916019,273.1
355,366,1204.3,1759.336332,438,921.1590908,1921.2
354,255,1251.9,1785.777356,458,921.2514501,449
302,247,1308.4,1814.490475,461,922.1459291,1860.2
331,2790,1317.1,1828.070392,461,922.182379,2591.6
340,2591,1453.9,1842.279675,469,922.7626972,428
337,489,1601.8,1843.404139,470,924.3147956,702.2
344,2821,1634.4,1865.083394,478,925.2730789,2144.1
331,2209,1668.4,1875.648171,506,925.4935207,449.7
332,241,1743.3,1885.045646,508,925.5106993,286.8
294,484,1922.2,1891.122181,511,925.5318882,445
324,1801,1953.1,1897.019013,551,925.663695,455.1
332,955,2214.9,1899.185622,564,925.8125477,382.6
322,2434,2243.3,1912.732137,577,926.0305751,2498.1
335,1263,2413.4,1918.543632,626,926.4717183,1161.5
337,429,2487.7,1920.374105,669,927.1493443,389
295,277,2487.9,1935.087799,670,927.9684818,1829.5
350,464,2496.4,1942.314966,673,929.1047833,471.1
341,2147,2510.9,1942.915637,702,929.69218,292.6
351,173,2520,1945.765491,705,933.7221113,431.2
350,395,2524.6,1949.656401,720,933.8802658,260.2
292,2495,2658.9,1963.194383,726,933.9734462,2504.9
452,393,143.8,1965.857575,740,934.0289119,322.8
373,756,240.8,1970.285574,749,934.4599239,1123.8
301,1887,242.1,1974.700319,752,934.5735908,690.6
336,343,256.1,1976.022169,775,934.9722271,452.4
360,410,257,1980.127032,781,936.1472454,278.4
352,2281,260.9,1984.804351,785,936.5448752,439.2
300,412,264.2,2039.1003,788,936.6875558,428.8
332,238,322.9,2058.938181,797,937.2993148,777.2
335,405,353.5,2139.132368,798,937.7460604,325.6
348,2148,367.9,2189.874172,807,937.9214695,476.4
336,1307,390.3,2209.912896,807,938.5018618,401.9
315,722,396,2215.659319,814,938.8071151,281.4
296,897,399.3,2349.569496,814,940.4583115,449.5
334,2267,417.7,2354.564208,836,940.5725698,449.2
